pka_energy,diffusivity,h0,run,final_magnetization,timestamp
6200,1.0,0.08,4,0.9487111111111112,2025-02-23 10:38:52
6200,1.0,0.08,5,0.9496,2025-02-23 10:38:52
6200,1.0,0.08,6,-0.9548444444444444,2025-02-23 10:38:52
6200,1.0,0.08,7,0.2432,2025-02-23 10:38:52
6200,1.0,0.08,8,0.9527111111111112,2025-02-23 10:38:52
6200,1.0,0.08,9,0.2995555555555556,2025-02-23 10:38:52
6200,1.0,0.08,10,0.0368888888888888,2025-02-23 10:38:52
6200,1.0,0.08,11,0.9450666666666668,2025-02-23 10:38:52
6200,1.0,0.08,12,-0.9520888888888888,2025-02-23 10:38:52
6200,1.0,0.08,13,0.2747555555555555,2025-02-23 10:38:52
6200,1.0,0.08,14,-0.9501333333333334,2025-02-23 10:38:52
6200,1.0,0.08,15,-0.216,2025-02-23 10:38:52
6200,1.0,0.08,16,0.4693333333333333,2025-02-23 10:38:52
6200,1.0,0.08,17,0.3627555555555555,2025-02-23 10:38:52
6200,1.0,0.08,18,0.9532444444444444,2025-02-23 10:38:52
6200,1.0,0.08,19,-0.9530666666666666,2025-02-23 10:38:52
6200,1.0,0.08,20,-0.0653333333333333,2025-02-23 10:38:52
6200,1.0,0.08,21,0.9472888888888888,2025-02-23 10:38:52
6200,1.0,0.08,22,0.9493333333333334,2025-02-23 10:38:52
6200,1.0,0.08,23,-0.9530666666666666,2025-02-23 10:38:52
6200,1.0,0.08,24,-0.1245333333333333,2025-02-23 10:38:52
6200,1.0,0.08,25,-0.9510222222222222,2025-02-23 10:38:52
6300,1.0,0.08,1,0.9515555555555556,2025-02-23 10:38:52
6300,1.0,0.08,2,0.2497777777777777,2025-02-23 10:38:52
6300,1.0,0.08,3,0.9528,2025-02-23 10:38:52
6300,1.0,0.08,4,0.9539555555555556,2025-02-23 10:38:52
6300,1.0,0.08,5,0.2539555555555555,2025-02-23 10:38:52
6300,1.0,0.08,6,0.9561777777777778,2025-02-23 10:38:52
6300,1.0,0.08,7,-0.228,2025-02-23 10:38:52
6300,1.0,0.08,8,0.0128888888888888,2025-02-23 10:38:52
6300,1.0,0.08,9,0.9528,2025-02-23 10:38:52
6300,1.0,0.08,10,-0.2103111111111111,2025-02-23 10:38:52
6300,1.0,0.08,11,0.9491555555555556,2025-02-23 10:38:52
6300,1.0,0.08,12,0.9545777777777776,2025-02-23 10:38:52
6300,1.0,0.08,13,0.9487111111111112,2025-02-23 10:38:52
6300,1.0,0.08,14,0.2288888888888889,2025-02-23 10:38:52
6300,1.0,0.08,15,0.9503111111111112,2025-02-23 10:38:52
6300,1.0,0.08,16,0.9488888888888888,2025-02-23 10:38:52
6300,1.0,0.08,17,0.4223111111111111,2025-02-23 10:38:52
6300,1.0,0.08,18,0.0133333333333333,2025-02-23 10:38:52
6300,1.0,0.08,19,0.9507555555555556,2025-02-23 10:38:52
6300,1.0,0.08,20,0.9513777777777778,2025-02-23 10:38:52
6300,1.0,0.08,21,0.9508444444444444,2025-02-23 10:38:52
6300,1.0,0.08,22,-0.1309333333333333,2025-02-23 10:38:52
6300,1.0,0.08,23,0.9501333333333334,2025-02-23 10:38:52
6300,1.0,0.08,24,-0.9502222222222222,2025-02-23 10:38:52
6300,1.0,0.08,25,0.9504888888888888,2025-02-23 10:38:52
6400,1.0,0.08,1,0.948,2025-02-23 10:38:52
6400,1.0,0.08,2,-0.1634666666666666,2025-02-23 10:38:52
6400,1.0,0.08,3,-0.1180444444444444,2025-02-23 10:38:52
6400,1.0,0.08,4,0.9403555555555556,2025-02-23 10:38:52
6400,1.0,0.08,5,-0.9463111111111112,2025-02-23 10:38:52
6400,1.0,0.08,6,-0.9423111111111112,2025-02-23 10:38:52
6400,1.0,0.08,7,0.9520888888888888,2025-02-23 10:38:52
6400,1.0,0.08,8,0.9572444444444445,2025-02-23 10:38:52
6400,1.0,0.08,9,0.9448888888888888,2025-02-23 10:38:52
6400,1.0,0.08,10,0.2811555555555555,2025-02-23 10:38:52
6400,1.0,0.08,11,0.9535111111111112,2025-02-23 10:38:52
6400,1.0,0.08,12,0.3999111111111111,2025-02-23 10:38:52
6400,1.0,0.08,13,-0.9461333333333334,2025-02-23 10:38:52
6400,1.0,0.08,14,-0.1360888888888889,2025-02-23 10:38:52
6400,1.0,0.08,15,-0.9505777777777776,2025-02-23 10:38:52
6400,1.0,0.08,16,0.6976,2025-02-23 10:38:52
6400,1.0,0.08,17,0.9545777777777776,2025-02-23 10:38:52
6400,1.0,0.08,18,0.9452444444444444,2025-02-23 10:38:52
6400,1.0,0.08,19,0.3554666666666666,2025-02-23 10:38:52
6400,1.0,0.08,20,0.3228444444444444,2025-02-23 10:38:52
6400,1.0,0.08,21,0.3723555555555555,2025-02-23 10:38:52
6400,1.0,0.08,22,0.9525333333333332,2025-02-23 10:38:52
6400,1.0,0.08,23,0.9512888888888889,2025-02-23 10:38:52
6400,1.0,0.08,24,-0.9533333333333334,2025-02-23 10:38:52
6400,1.0,0.08,25,-0.9539555555555556,2025-02-23 10:38:52
6500,1.0,0.08,1,0.9517333333333332,2025-02-23 10:38:52
6500,1.0,0.08,2,0.9504,2025-02-23 10:38:52
6500,1.0,0.08,3,0.9509333333333332,2025-02-23 10:38:52
6500,1.0,0.08,4,0.9559111111111112,2025-02-23 10:38:52
6500,1.0,0.08,5,0.9545777777777776,2025-02-23 10:38:52
6500,1.0,0.08,6,0.3009777777777778,2025-02-23 10:38:52
6500,1.0,0.08,7,0.9526222222222224,2025-02-23 10:38:52
6500,1.0,0.08,8,0.4064,2025-02-23 10:38:52
6500,1.0,0.08,9,0.9563555555555556,2025-02-23 10:38:52
6500,1.0,0.08,10,0.9537777777777776,2025-02-23 10:38:52
6500,1.0,0.08,11,0.9406222222222222,2025-02-23 10:38:52
6500,1.0,0.08,12,0.3397333333333333,2025-02-23 10:38:52
6500,1.0,0.08,13,0.9551111111111112,2025-02-23 10:38:52
6500,1.0,0.08,14,-0.1906666666666666,2025-02-23 10:38:52
6500,1.0,0.08,15,0.9552888888888889,2025-02-23 10:38:52
6500,1.0,0.08,16,0.9536,2025-02-23 10:38:52
6500,1.0,0.08,17,0.9475555555555556,2025-02-23 10:38:52
6500,1.0,0.08,18,0.9461333333333334,2025-02-23 10:38:52
6500,1.0,0.08,19,0.9536,2025-02-23 10:38:52
